cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;982;30;0.06315789473684211;1.894736842105263;39.25052631578947;20.473684210526315;76.62315789473685;12.842105263157896;31.42105263157895;13.578947368421053;0.47789473684210526;0.0;3.0147368421052634;0.0;2.248421052631579;0.33684210526315794;2.1957894736842105;8.947368421052632;5.2631578947368425
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1316;31;0.06666666666666667;1.8333333333333333;43.184444444444445;21.166666666666668;73.29777777777777;11.555555555555555;30.555555555555557;14.055555555555555;1.588888888888889;0.0;1.8733333333333337;0.06222222222222223;2.0288888888888894;0.5266666666666667;1.7422222222222221;7.388888888888889;5.111111111111111
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;1061;41;0.07272727272727272;1.7272727272727273;36.27090909090909;25.90909090909091;73.15454545454546;11.318181818181818;30.772727272727273;12.045454545454545;1.3345454545454547;0.0;2.914545454545454;0.0;2.7872727272727285;0.37454545454545457;2.1690909090909094;7.818181818181818;6.545454545454546
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;1910;57;0.07466666666666667;1.2666666666666666;46.251999999999995;31.533333333333335;74.556;11.1;29.766666666666666;15.933333333333334;2.0400000000000005;0.0;2.7866666666666666;0.0;3.3466666666666662;0.24000000000000007;2.2359999999999998;5.366666666666666;7.6
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1131;47;0.06;1.4;41.79733333333333;27.6;75.01733333333333;11.933333333333334;30.966666666666665;13.9;1.2733333333333334;0.0;2.2053333333333334;0.00533333333333333;3.7066666666666674;0.40666666666666657;2.7079999999999997;6.066666666666666;6.7
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1260;23;0.05866666666666667;1.0666666666666667;40.26933333333333;23.666666666666668;74.80533333333332;12.933333333333334;31.8;13.733333333333333;1.9333333333333331;0.0;2.0453333333333332;0.0;2.936;0.4106666666666667;2.7706666666666666;4.533333333333333;6.4
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1401;29;0.06222222222222222;2.0;37.464444444444446;21.11111111111111;72.64888888888889;11.166666666666666;30.61111111111111;12.38888888888889;1.348888888888889;0.0;1.8511111111111107;0.0;2.508888888888889;0.3577777777777778;1.9711111111111113;8.61111111111111;5.277777777777778
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1602;37;0.055;1.4583333333333333;42.669999999999995;23.125;72.615;11.416666666666666;30.25;14.375;1.2516666666666667;0.0;2.3933333333333335;0.0;2.793333333333333;0.375;2.391666666666666;5.625;5.958333333333333
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1226;35;0.07555555555555556;1.0555555555555556;34.391111111111115;24.166666666666668;66.3488888888889;10.88888888888889;29.333333333333332;11.222222222222221;1.1133333333333333;0.0;2.7888888888888896;0.0;2.1244444444444444;0.41111111111111115;2.4022222222222225;4.222222222222222;5.444444444444445
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;1195;41;0.07090909090909091;1.7272727272727273;52.17999999999999;29.818181818181817;80.20181818181817;11.227272727272727;30.545454545454547;17.818181818181817;3.5036363636363634;0.0;2.5145454545454546;0.0;2.547272727272727;0.4327272727272727;1.9527272727272729;7.863636363636363;8.181818181818182
