cycle,name,location.x,location.y,my_zone,gender,socio,my_fit,outplay,my_crime,my_simd,my_simd_imp,num_friends,num_car,id_catch,my_neigh_prob,dis_school,x_cor,y_cor,school_walk_prob,avg_mvpa,avg_walk,daily_od,daily_od_mvpa,mvpa_home,mvpa_sc,mvpa_road,mvpa_play_field,mvpa_home_garden,mvpa_park,mvpa_PG,mvpa_amenity,mvpa_shops,mvpa_F_home,mvpa_fsa,per_days_sixt
11286,children56,8839.116381,3111.684036,zone(2),boy,1,0.608209604,0.982737161,-0.287624471,2,0.7,7,1,67,0.137583203,574,262081,667960,0.999501438,52.6,29.84,44,9,8,21,10,1.44,0,3.64,0,4.2,0.36,2.04,0,0.36
11286,children57,8675.350606,3017.643965,zone(2),girl,1,0.871985993,1.067396576,-0.287624471,2,0.7,5,0,67,0.149435521,704,261916,668045,1,50.24,32.08,36,5,9,20,12,0,0,1.76,0,3.28,0.44,2.32,0,0.2
11286,children58,8802.644536,2991.941222,zone(2),girl,1,1.114113196,0.825441744,-0.287624471,2,0.7,8,2,67,0.115561844,574,262043,668079,0.374462209,49.2,14.52,22,4,11,22,5,2.36,0,0.24,0,1.88,0.6,4.88,0,0.16
11286,children59,8245.854504,3686.586793,zone(3),girl,1,1.627419805,0.702564879,-0.292668818,3,0.8,6,1,122,0.112410381,2062,261489,667386,0.206692328,79.8,33.64,8,3,18,25,11,0,0,3.64,0,0.24,0.92,2.16,17,0.88
11286,children60,8288.367509,3647.75502,zone(3),girl,2,0.487327682,1.103059388,-0.292668818,3,0.8,5,2,122,0.176489502,2062,261528,667417,0.342625396,43.92,41.2,27,3,5,17,14,0.16,0,2.72,0,0.84,0.28,1.76,0,0.08
11286,children61,8038.079143,3749.746783,zone(3),girl,4,0.484179048,1.260727679,-0.292668818,3,0.8,7,1,122,0.201716429,1792,261284,667320,0,41.48,25.96,23,1,4,18,9,0,0,0,0,1.68,0,0,8,0.08
11286,children62,8162.788393,3825.687357,zone(3),girl,4,1.415305061,1.081589944,-0.292668818,3,0.8,4,2,122,0.173054391,1954,261403,667241,0.227721532,70.88,34.8,28,7,13,24,12,1.56,0,2.28,0,3.92,0.48,1.96,10,0.8
11286,children63,8111.749421,3676.245924,zone(3),boy,3,0.889499102,0.974319161,-0.292668818,3,0.8,8,2,122,0.155891066,1916,261355,667390,0.945472778,71.04,58.12,46,12,9,23,20,2.36,0,2.76,0,7.32,0.28,5.24,0,0.56
11286,children64,8205.730672,3726.618367,zone(3),boy,3,1.025675737,1.147245706,-0.292668818,3,0.8,5,1,122,0.183559313,2006,261444,667341,0.21454771,63.2,27.2,23,6,13,25,10,1.88,0,2.08,0,2.48,1.72,2,4,0.68
11286,children65,8330.885363,3710.168988,zone(3),girl,3,1.141148991,1.115948838,-0.292668818,3,0.8,5,1,122,0.178551814,2127,261571,667355,0.906640408,69.44,72.44,50,9,10,22,24,2.16,0,2.12,0,5.04,0.52,2.32,0,0.72
11286,children66,8110.872547,3682.53778,zone(3),boy,2,0.3,0.943901227,-0.292668818,3,0.8,6,1,122,0.151024196,1916,261355,667390,0,41.72,24.16,38,5,3,19,8,0.84,0,2.6,0,2.08,0.12,1.12,3,0.12
11286,children67,7944.035033,3750.281298,zone(3),girl,1,0.767002807,0.650096417,-0.292668818,3,0.8,11,0,122,0.104015427,1679,261187,667326,1,58.36,64.84,30,4,8,20,23,1.88,0,0.48,0,1.92,0.16,2.48,0,0.4
11286,children68,8269.379861,3739.661094,zone(3),girl,1,0.947890095,1.211338317,-0.292668818,3,0.8,6,0,122,0.193814131,2275,261511,667330,1,68.28,77.92,38,7,8,21,27,2,0,2.4,0,2.64,0.48,2.76,0,0.68
11286,children69,8013.224663,3788.197459,zone(3),girl,2,1.228849186,0.747012305,-0.292668818,3,0.8,7,1,122,0.119521969,1793,261255,667278,0.945333892,72.28,62.48,34,10,13,23,21,2.04,0,6.88,0,1.72,0.8,2.28,0,0.72
11286,children70,8310.283648,3758.114381,zone(3),boy,3,0.971781755,0.946783738,-0.292668818,3,0.8,9,1,122,0.151485398,2275,261555,667311,0.770267796,77.44,72.08,16,4,13,25,26,0,0,3.44,0,1.52,0.2,3.52,4,0.68
11286,children71,8071.446515,3858.412782,zone(3),boy,1,1.227547367,1.04243919,-0.292668818,3,0.8,6,0,122,0.16679027,1870,261313,667207,1,96,84.28,36,11,13,26,30,2.16,0,2.2,0,6.8,0.08,1.88,12,1
11286,children72,8046.739747,3717.664623,zone(3),girl,4,0.564969621,1.166701087,-0.292668818,3,0.8,8,1,122,0.186672174,1818,261287,667350,0,45.4,23.92,3,0,6,18,8,0,0,0,0,0.32,0.08,0,11,0.08
