cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;1018;25;0.05052631578947368;1.0;41.69894736842106;25.789473684210527;59.816842105263156;10.31578947368421;21.842105263157894;14.0;1.0021052631578948;0.0;2.696842105263158;0.0;2.2778947368421054;0.2863157894736843;2.5368421052631582;3.210526315789474;5.526315789473684
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1429;19;0.04222222222222222;1.1666666666666667;40.459999999999994;22.72222222222222;63.044444444444444;11.88888888888889;23.0;13.5;0.991111111111111;0.0;1.6911111111111112;0.03333333333333334;2.555555555555556;0.39555555555555555;2.5444444444444443;4.611111111111111;4.833333333333333
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;965;33;0.06;1.5;22.789090909090906;22.954545454545453;54.56545454545455;10.045454545454545;22.09090909090909;7.636363636363637;0.9654545454545453;0.0;2.2581818181818183;0.02181818181818182;2.2799999999999994;0.41272727272727283;2.2890909090909095;4.954545454545454;5.0
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;1994;56;0.072;0.9;38.373333333333335;29.533333333333335;61.59733333333334;10.766666666666667;22.6;12.966666666666667;2.3160000000000003;0.0;2.864;0.0;2.688;0.464;2.253333333333333;2.8666666666666667;7.333333333333333
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1190;61;0.08;1.1333333333333333;43.37733333333335;32.166666666666664;68.85733333333334;11.966666666666667;23.833333333333332;14.8;1.1879999999999997;0.0;2.625333333333334;0.0;4.793333333333333;0.36800000000000005;2.598666666666666;5.1;8.1
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1552;15;0.04;2.1333333333333333;43.794666666666664;17.333333333333332;68.21866666666668;12.133333333333333;23.2;14.866666666666667;0.76;0.0;1.424;0.0;2.1413333333333333;0.4506666666666667;1.864;9.533333333333333;3.933333333333333
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1367;30;0.06444444444444444;1.3333333333333333;41.842222222222226;23.11111111111111;66.42444444444443;12.11111111111111;23.38888888888889;14.0;1.311111111111111;0.0;1.917777777777778;0.0;2.9044444444444446;0.54;2.984444444444444;5.277777777777778;5.666666666666667
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1735;28;0.045;1.875;52.30833333333334;24.833333333333332;69.8583333333333;11.083333333333334;23.0;17.5;0.5300000000000001;0.0;2.7050000000000005;0.0;2.74;0.2866666666666668;2.148333333333333;7.833333333333333;5.416666666666667
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;975;32;0.06888888888888889;1.0555555555555556;32.437777777777775;23.944444444444443;63.36;12.5;23.72222222222222;10.88888888888889;0.8222222222222224;0.0;3.1333333333333337;0.0;2.764444444444444;0.38;2.5955555555555554;4.833333333333333;6.222222222222222
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;1123;45;0.08;1.4090909090909092;41.28727272727272;26.454545454545453;67.27636363636363;12.318181818181818;23.454545454545453;13.863636363636363;1.4800000000000002;0.0;2.4072727272727272;0.0;3.3236363636363637;0.4581818181818181;2.045454545454545;6.409090909090909;6.818181818181818
