DataZone,Freq.,Percent,Cum.
S01008750,1,0.13,32.82
S01008758,1,0.13,32.95
S01008823,1,0.13,33.07
S01008825,1,0.13,33.2
S01008830,1,0.13,33.33
S01008833,1,0.13,33.46
S01008834,3,0.39,33.85
S01008835,2,0.26,34.11
S01008857,1,0.13,34.24
S01008884,1,0.13,34.37
S01008895,1,0.13,34.5
S01008898,1,0.13,34.63
S01008934,1,0.13,34.75
S01008935,1,0.13,34.88
S01008936,1,0.13,35.01
S01008938,1,0.13,35.14
S01008939,2,0.26,35.4
S01008961,1,0.13,35.53
S01008962,1,0.13,35.66
S01008970,1,0.13,35.79
S01008971,1,0.13,35.92
S01008993,1,0.13,36.05
S01009059,1,0.13,36.18
S01009061,3,0.39,36.56
S01009064,2,0.26,36.82
S01009066,1,0.13,36.95
S01009068,1,0.13,37.08
S01009069,1,0.13,37.21
S01009070,2,0.26,37.47
S01009174,1,0.13,37.6
S01009184,1,0.13,37.73
S01009191,1,0.13,37.86
S01009197,1,0.13,37.98
S01009198,1,0.13,38.11
S01009199,1,0.13,38.24
S01009202,2,0.26,38.5
S01009209,1,0.13,38.63
S01009245,1,0.13,38.76
S01009250,1,0.13,38.89
S01009255,1,0.13,39.02
S01009257,1,0.13,39.15
S01009259,2,0.26,39.41
S01009278,1,0.13,39.53
S01009315,1,0.13,39.66
S01009317,2,0.26,39.92
S01009322,2,0.26,40.18
S01009330,1,0.13,40.31
S01009332,1,0.13,40.44
S01009349,1,0.13,40.57
S01009350,1,0.13,40.7
S01009351,1,0.13,40.83
S01009405,1,0.13,40.96
S01009409,1,0.13,41.09
S01009410,2,0.26,41.34
S01009417,1,0.13,41.47
S01009437,1,0.13,41.6
S01009440,1,0.13,41.73
S01009443,1,0.13,41.86
S01009450,1,0.13,41.99
S01009490,1,0.13,42.12
S01009494,1,0.13,42.25
S01009495,1,0.13,42.38
S01009497,1,0.13,42.51
S01009504,1,0.13,42.64
S01009518,1,0.13,42.76
S01009520,2,0.26,43.02
S01009555,1,0.13,43.15
S01009558,1,0.13,43.28
S01009605,1,0.13,43.41
S01009651,1,0.13,43.54
S01009665,1,0.13,43.67
S01009675,1,0.13,43.8
S01009696,1,0.13,43.93
S01009698,1,0.13,44.06
S01009702,1,0.13,44.19
S01009703,1,0.13,44.32
S01009704,1,0.13,44.44
S01009709,2,0.26,44.7
S01009711,1,0.13,44.83
S01009719,1,0.13,44.96
S01009720,1,0.13,45.09
S01009727,1,0.13,45.22
S01009735,2,0.26,45.48
S01009742,2,0.26,45.74
S01009747,1,0.13,45.87
S01009750,1,0.13,45.99
S01009751,1,0.13,46.12
S01009884,2,0.26,46.38
S01009929,1,0.13,46.51
S01009941,1,0.13,46.64
S01009955,1,0.13,46.77
S01009958,1,0.13,46.9
S01009967,1,0.13,47.03
S01010005,1,0.13,47.16
S01010083,1,0.13,47.29
S01010091,1,0.13,47.42
S01010097,1,0.13,47.55
S01010102,1,0.13,47.67
S01010127,1,0.13,47.8
S01010136,2,0.26,48.06
S01010139,1,0.13,48.19
S01010203,1,0.13,48.32
S01010217,1,0.13,48.45
S01010289,1,0.13,48.58
S01010294,1,0.13,48.71
S01010295,1,0.13,48.84
S01010300,2,0.26,49.1
S01010315,1,0.13,49.22
S01010326,1,0.13,49.35
S01010332,1,0.13,49.48
S01010371,1,0.13,49.61
S01010372,1,0.13,49.74
S01010373,2,0.26,50
S01010380,1,0.13,50.13
S01010385,1,0.13,50.26
S01010412,1,0.13,50.39
S01010417,1,0.13,50.52
S01010431,2,0.26,50.78
S01010465,1,0.13,50.9
S01010481,1,0.13,51.03
S01010484,1,0.13,51.16
S01010488,1,0.13,51.29
S01010506,1,0.13,51.42
S01010509,2,0.26,51.68
S01010512,1,0.13,51.81
S01010514,1,0.13,51.94
S01010585,1,0.13,52.07
S01010590,2,0.26,52.33
S01010593,1,0.13,52.45
S01010594,2,0.26,52.71
S01010595,1,0.13,52.84
S01010615,1,0.13,52.97
S01010618,2,0.26,53.23
S01010635,1,0.13,53.36
S01010655,3,0.39,53.75
S01010656,1,0.13,53.88
S01010657,2,0.26,54.13
S01010681,1,0.13,54.26
S01010683,4,0.52,54.78
S01010687,3,0.39,55.17
S01010689,1,0.13,55.3
S01010690,1,0.13,55.43
S01010692,1,0.13,55.56
S01010693,2,0.26,55.81
S01010694,1,0.13,55.94
S01010696,3,0.39,56.33
S01010697,3,0.39,56.72
S01010705,1,0.13,56.85
S01010707,1,0.13,56.98
S01010787,1,0.13,57.11
S01010796,1,0.13,57.24
S01010799,1,0.13,57.36
S01010801,1,0.13,57.49
S01010802,1,0.13,57.62
S01010803,2,0.26,57.88
S01010805,1,0.13,58.01
S01010808,2,0.26,58.27
S01010813,2,0.26,58.53
S01010820,1,0.13,58.66
S01010828,1,0.13,58.79
S01010834,2,0.26,59.04
S01010835,1,0.13,59.17
S01010841,1,0.13,59.3
S01010863,1,0.13,59.43
S01010864,1,0.13,59.56
S01010892,1,0.13,59.69
S01010895,1,0.13,59.82
S01010908,1,0.13,59.95
S01010913,2,0.26,60.21
S01010914,1,0.13,60.34
S01010921,1,0.13,60.47
S01010923,1,0.13,60.59
S01010927,1,0.13,60.72
S01010933,1,0.13,60.85
S01010940,1,0.13,60.98
S01010968,1,0.13,61.11
S01010971,2,0.26,61.37
S01010972,1,0.13,61.5
S01010988,1,0.13,61.63
S01010991,1,0.13,61.76
S01011007,1,0.13,61.89
S01011013,1,0.13,62.02
S01011023,2,0.26,62.27
S01011025,1,0.13,62.4
S01011091,1,0.13,62.53
S01011107,1,0.13,62.66
S01011122,1,0.13,62.79
S01011133,1,0.13,62.92
S01011137,1,0.13,63.05
S01011140,1,0.13,63.18
S01011155,1,0.13,63.31
S01011171,2,0.26,63.57
S01011213,1,0.13,63.7
S01011228,1,0.13,63.82
S01011262,1,0.13,63.95
S01011279,1,0.13,64.08
S01011289,1,0.13,64.21
S01011290,1,0.13,64.34
S01011293,1,0.13,64.47
