cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;983;27;0.05263157894736842;1.1578947368421053;34.62736842105262;24.94736842105263;73.73684210526316;10.789473684210526;35.63157894736842;11.68421052631579;0.8084210526315789;0.0;3.869473684210526;0.0;2.1052631578947363;0.3031578947368421;2.656842105263158;4.105263157894737;6.2631578947368425
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1213;24;0.05333333333333334;1.2777777777777777;43.802222222222234;30.666666666666668;77.9088888888889;10.444444444444445;35.611111111111114;14.666666666666666;1.1488888888888888;0.0;3.393333333333333;0.05777777777777778;3.146666666666667;0.33111111111111113;2.5733333333333333;4.722222222222222;7.333333333333333
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;1046;38;0.06545454545454546;1.3636363636363635;27.13818181818182;23.363636363636363;77.56545454545454;12.818181818181818;38.36363636363637;9.0;1.694545454545455;0.0;2.643636363636363;0.0;2.2418181818181817;0.45454545454545464;2.4054545454545457;6.181818181818182;6.045454545454546
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;1932;82;0.10533333333333333;1.0333333333333334;50.49733333333334;34.13333333333333;81.84266666666666;10.766666666666667;36.5;17.2;2.1693333333333333;0.0;2.9999999999999996;0.0;3.5533333333333332;0.4186666666666667;2.4933333333333327;4.1;8.166666666666666
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1377;59;0.07466666666666667;1.3;38.803999999999995;27.766666666666666;76.85200000000002;11.066666666666666;36.166666666666664;12.833333333333334;1.4253333333333336;0.0;2.457333333333333;0.03066666666666667;3.013333333333333;0.32133333333333336;2.664;5.133333333333334;6.466666666666667
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1179;17;0.04266666666666667;1.0666666666666667;44.09866666666665;29.2;71.512;9.066666666666666;33.46666666666667;14.6;0.9333333333333335;0.0;3.416;0.0;2.4133333333333336;0.2533333333333333;2.666666666666667;3.066666666666667;6.333333333333333
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1314;27;0.05555555555555555;1.7777777777777777;50.559999999999995;25.38888888888889;88.65777777777778;12.5;39.333333333333336;16.944444444444443;1.7288888888888891;0.0;2.328888888888889;0.0;3.3022222222222224;0.4844444444444444;2.1866666666666665;7.944444444444445;7.0
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1589;31;0.05;1.0833333333333333;46.306666666666665;28.0;77.40499999999999;10.375;35.541666666666664;15.916666666666666;0.9283333333333333;0.0;3.2833333333333337;0.0;2.538333333333333;0.43166666666666664;2.4149999999999996;4.291666666666667;6.25
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1408;35;0.07777777777777778;1.1666666666666667;41.05555555555554;26.0;69.26888888888888;9.722222222222221;32.166666666666664;13.88888888888889;0.8422222222222223;0.0;2.6377777777777776;0.0;2.266666666666667;0.27777777777777785;1.9955555555555557;3.8333333333333335;5.277777777777778
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;1202;30;0.05090909090909091;1.2272727272727273;37.47090909090909;22.136363636363637;72.66545454545454;10.5;34.59090909090909;12.727272727272727;1.5781818181818184;0.0;2.547272727272727;0.0;1.4418181818181819;0.2618181818181819;2.1163636363636362;5.363636363636363;5.090909090909091
