cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;1180;33;0.06736842105263158;0.6842105263157895;33.43789473684211;27.42105263157895;72.39157894736842;11.421052631578947;35.26315789473684;11.263157894736842;0.8126315789473686;0.0;3.4715789473684215;0.0;2.76;0.4421052631578948;3.056842105263158;2.263157894736842;6.526315789473684
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1288;32;0.06666666666666667;0.8888888888888888;40.73555555555556;29.0;71.58222222222224;9.722222222222221;33.77777777777778;13.833333333333334;1.4577777777777778;0.0;2.655555555555556;0.0;2.464444444444444;0.4466666666666667;2.6911111111111112;2.9444444444444446;6.222222222222222
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;914;47;0.08181818181818182;0.9545454545454546;28.84181818181818;32.31818181818182;76.0018181818182;11.863636363636363;37.31818181818182;9.681818181818182;1.230909090909091;0.0;3.0454545454545454;0.00727272727272727;3.7054545454545447;0.4163636363636362;2.774545454545454;4.2272727272727275;7.545454545454546
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;1999;44;0.056;1.9333333333333333;48.51199999999999;26.433333333333334;79.80799999999999;10.1;36.06666666666667;16.233333333333334;1.6013333333333335;0.0;1.7533333333333334;0.0;3.094666666666666;0.3053333333333334;2.1426666666666674;6.8;6.0
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1217;46;0.06;1.0;44.10666666666666;27.666666666666668;75.84533333333334;10.733333333333333;35.36666666666667;15.0;1.0386666666666664;0.0;2.909333333333333;0.0;3.046666666666667;0.38533333333333336;2.4399999999999995;3.1333333333333333;6.533333333333333
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1422;27;0.06666666666666667;1.6666666666666667;32.824000000000005;22.0;75.54666666666668;11.533333333333333;36.2;11.2;1.176;0.0;2.586666666666667;0.0;2.072;0.37333333333333335;2.002666666666667;6.666666666666667;5.4
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1392;24;0.05111111111111111;0.7222222222222222;43.160000000000004;31.055555555555557;76.58666666666667;11.38888888888889;36.05555555555556;14.333333333333334;2.206666666666667;0.0;1.7999999999999998;0.0;3.464444444444444;0.38444444444444453;2.686666666666666;2.611111111111111;7.0
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1609;38;0.06166666666666667;1.0;47.96666666666667;29.208333333333332;77.67999999999999;10.416666666666666;35.708333333333336;16.083333333333332;0.935;0.0;3.3049999999999997;0.0;2.778333333333334;0.25000000000000006;2.391666666666667;4.0;6.541666666666667
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1257;36;0.07777777777777778;1.4444444444444444;32.88666666666667;18.5;78.73555555555555;13.222222222222221;38.611111111111114;11.277777777777779;0.39555555555555555;0.0;3.5;0.0;1.8533333333333333;0.4177777777777779;2.624444444444445;5.166666666666667;5.333333333333333
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;1135;45;0.08;0.7272727272727273;38.22909090909091;28.636363636363637;83.82000000000001;13.363636363636363;40.40909090909091;12.954545454545455;2.48;0.0;3.183636363636364;0.0;3.1181818181818177;0.47272727272727283;2.9054545454545457;3.409090909090909;8.363636363636363
