cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;1043;28;0.05473684210526316;1.368421052631579;36.74947368421052;20.94736842105263;81.33684210526317;13.210526315789474;39.31578947368421;12.210526315789474;1.0273684210526315;0.0;2.4084210526315792;0.08;2.3410526315789477;0.3852631578947369;2.303157894736842;6.052631578947368;5.315789473684211
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1369;25;0.05333333333333334;1.3333333333333333;41.513333333333335;24.055555555555557;81.37555555555555;11.944444444444445;38.888888888888886;13.722222222222221;1.1377777777777776;0.0;2.175555555555556;0.0911111111111111;3.0022222222222226;0.4666666666666668;2.24;5.666666666666667;5.777777777777778
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;793;50;0.08545454545454545;1.5;35.88;29.545454545454547;84.18727272727273;13.136363636363637;40.0;11.954545454545455;1.0363636363636362;0.0;3.332727272727273;0.06181818181818182;3.6745454545454534;0.5399999999999998;2.2800000000000002;6.318181818181818;7.636363636363637
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;2003;62;0.07733333333333334;1.4333333333333333;32.074666666666666;25.833333333333332;76.89866666666668;11.7;37.166666666666664;10.6;1.8653333333333337;0.0;2.3293333333333335;0.0;2.697333333333334;0.5693333333333334;2.194666666666666;5.933333333333334;6.433333333333334
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1371;48;0.06;1.3333333333333333;41.02266666666666;22.4;72.32400000000001;10.0;34.36666666666667;13.666666666666666;0.7893333333333333;0.0;1.8626666666666665;0.01466666666666667;2.5293333333333337;0.3413333333333334;2.2680000000000002;4.6;4.733333333333333
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1240;32;0.08266666666666667;1.5333333333333334;45.84266666666666;29.0;79.88533333333335;10.666666666666666;36.2;15.333333333333334;1.4213333333333331;0.0;2.509333333333333;0.0;3.4959999999999996;0.4;1.9813333333333338;6.066666666666666;7.066666666666666
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1393;18;0.04;1.7777777777777777;44.72888888888888;22.88888888888889;83.07777777777775;11.88888888888889;38.388888888888886;15.166666666666666;1.3644444444444446;0.0;1.5933333333333333;0.0;3.231111111111111;0.2466666666666667;2.233333333333334;7.055555555555555;5.722222222222222
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1705;43;0.06666666666666667;1.5416666666666667;46.89833333333333;28.041666666666668;78.05833333333332;10.25;35.041666666666664;16.041666666666668;0.9633333333333333;0.0;3.1650000000000005;0.0;2.5816666666666674;0.38666666666666666;1.8150000000000004;6.083333333333333;6.166666666666667
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1078;36;0.07777777777777778;1.0;32.96222222222222;21.166666666666668;71.96444444444444;11.222222222222221;35.388888888888886;11.0;1.3599999999999999;0.0;3.691111111111111;0.0;1.231111111111111;0.4555555555555556;2.384444444444445;3.4444444444444446;5.722222222222222
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;934;29;0.05090909090909091;1.4090909090909092;41.599999999999994;24.272727272727273;75.6109090909091;11.409090909090908;35.40909090909091;13.909090909090908;1.830909090909091;0.0;2.1181818181818177;0.0;2.110909090909091;0.3236363636363637;2.0163636363636366;4.863636363636363;5.590909090909091
11286;zone10;7580.688680869333;3097.127786881416;0.0;zone10;S01010212;49;1083;779;559;[0.233333,0.633333,0.133333];[0.594771,0.339869,0.065359];[0.465517,0.405172,0.12931];[0.712821,0.269231,0.017949];[0.566037735849,0.138364779874,0.22641509434,0.0691823899371];1;1473.0;1.15298517036;1094;76;0.05959183673469388;1.3265306122448979;48.742857142857154;27.816326530612244;82.04979591836735;11.387755102040817;36.775510204081634;16.612244897959183;1.6326530612244898;0.0;2.4457142857142853;0.0;3.4048979591836734;0.4187755102040816;2.266938775510204;5.510204081632653;7.0
11286;zone11;8065.177293237223;3111.5884965344962;0.0;zone11;S01010213;13;924;657;476;[0.105263,0.684211,0.210526];[0.382609,0.547826,0.069565];[0.218543,0.556291,0.225166];[0.467925,0.483019,0.049057];[0.451327433628,0.221238938053,0.274336283186,0.0530973451327];1;247.0;-0.255840453357;834;22;0.06769230769230769;1.1538461538461537;35.421538461538454;27.923076923076923;71.08615384615383;10.384615384615385;33.76923076923077;11.923076923076923;0.9384615384615385;0.0;1.9384615384615385;0.0;2.8400000000000003;0.3384615384615385;2.3200000000000003;4.846153846153846;5.3076923076923075
