cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;1073;32;0.06315789473684211;0.7368421052631579;47.34947368421052;25.57894736842105;67.4778947368421;12.68421052631579;23.57894736842105;16.36842105263158;0.7873684210526316;0.0;2.8715789473684215;0.03578947368421053;3.290526315789474;0.6694736842105263;2.7747368421052636;2.736842105263158;6.578947368421052
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1356;21;0.04666666666666667;1.3888888888888888;53.44888888888889;30.27777777777778;64.49111111111111;9.61111111111111;21.88888888888889;18.333333333333332;0.9733333333333333;0.0;1.1022222222222222;0.18444444444444447;3.728888888888889;0.3133333333333333;2.086666666666667;4.722222222222222;5.5
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;805;44;0.07272727272727272;0.8636363636363636;34.53454545454545;35.13636363636363;61.79454545454546;11.136363636363637;22.90909090909091;11.681818181818182;0.7763636363636365;0.0;2.6472727272727274;0.04181818181818182;4.534545454545455;0.40363636363636374;2.399999999999999;3.4545454545454546;7.454545454545454
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;2017;45;0.05733333333333333;1.5666666666666667;75.06933333333333;33.833333333333336;77.47066666666666;10.266666666666667;22.9;25.766666666666666;1.0546666666666666;0.0;2.0853333333333333;0.0;4.498666666666667;0.3133333333333334;1.9013333333333333;6.966666666666667;7.066666666666666
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1056;49;0.064;0.9333333333333333;44.97866666666667;28.5;63.72000000000001;11.066666666666666;22.566666666666666;15.033333333333333;1.0653333333333335;0.0;2.1106666666666674;0.0;3.3546666666666667;0.452;2.405333333333333;3.8666666666666667;6.0
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1133;29;0.07466666666666667;0.8666666666666667;47.23733333333333;28.6;70.49866666666667;12.6;24.0;16.066666666666666;2.008;0.0;3.08;0.0;3.4853333333333336;0.47466666666666674;2.632;4.333333333333333;8.066666666666666
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1386;21;0.04444444444444445;1.3888888888888888;56.0;22.833333333333332;68.26666666666667;11.055555555555555;23.0;19.333333333333332;1.2866666666666668;0.0;1.3577777777777778;0.0;3.0;0.3444444444444445;2.608888888888889;4.722222222222222;5.166666666666667
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1641;35;0.05333333333333334;2.125;68.94333333333334;23.583333333333332;75.29166666666667;10.375;22.916666666666668;23.666666666666668;0.48;0.0;2.068333333333334;0.0;3.0850000000000004;0.32166666666666677;1.6033333333333333;9.0;5.208333333333333
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1081;27;0.06;1.3888888888888888;46.06888888888889;21.88888888888889;67.39777777777778;11.777777777777779;23.38888888888889;15.555555555555555;0.9444444444444442;0.0;2.497777777777778;0.0;2.3133333333333335;0.548888888888889;2.186666666666667;6.444444444444445;5.388888888888889
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;1130;21;0.03636363636363636;1.4545454545454546;48.470909090909096;20.863636363636363;64.12727272727274;11.0;22.227272727272727;16.318181818181817;1.8527272727272723;0.0;1.64;0.0;1.4763636363636363;0.4690909090909091;2.3472727272727276;5.181818181818182;4.545454545454546
