cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;1139;92;0.1936842105263158;1.4210526315789473;30.46526315789474;31.210526315789473;60.056842105263165;10.68421052631579;21.894736842105264;10.473684210526315;1.2568421052631578;0.0;4.056842105263159;0.0;2.6084210526315794;0.33894736842105266;2.0989473684210527;4.842105263157895;7.578947368421052
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1428;96;0.20444444444444446;1.0;44.66;34.333333333333336;62.695555555555565;9.88888888888889;22.0;15.38888888888889;2.108888888888889;0.0;2.3511111111111114;0.0;3.104444444444445;0.27111111111111114;2.2755555555555556;3.7222222222222223;7.055555555555555
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;1000;204;0.3563636363636364;1.0;30.161818181818173;50.63636363636363;67.3490909090909;10.772727272727273;23.40909090909091;10.090909090909092;2.5472727272727274;0.0;6.507272727272727;0.0890909090909091;4.925454545454546;0.330909090909091;2.8163636363636364;4.045454545454546;13.545454545454545
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;2003;200;0.256;2.0;54.150666666666666;39.53333333333333;75.40933333333334;10.566666666666666;23.266666666666666;18.566666666666666;2.3440000000000003;0.0;3.942666666666667;0.0;4.321333333333333;0.3466666666666666;1.6320000000000003;8.566666666666666;10.033333333333333
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1044;197;0.252;1.0333333333333334;38.42666666666666;38.86666666666667;68.74266666666668;11.433333333333334;23.9;12.966666666666667;2.4146666666666667;0.0;4.169333333333333;0.04666666666666666;4.219999999999999;0.38800000000000007;2.778666666666666;4.733333333333333;10.5
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1142;87;0.22666666666666666;1.1333333333333333;49.58933333333333;43.733333333333334;76.79199999999999;12.8;24.4;16.933333333333334;3.3573333333333326;0.0;4.986666666666666;0.0;4.746666666666668;0.44800000000000006;2.626666666666666;4.6;12.666666666666666
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1437;85;0.18444444444444444;0.8888888888888888;53.857777777777784;36.833333333333336;71.76888888888888;10.88888888888889;23.444444444444443;18.833333333333332;3.2088888888888887;0.0;3.1244444444444444;0.0;4.217777777777777;0.23777777777777784;2.824444444444444;3.5;10.11111111111111
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1777;104;0.17;1.3333333333333333;69.28333333333333;33.208333333333336;79.36666666666666;11.333333333333334;24.166666666666668;23.75;1.3316666666666668;0.0;5.038333333333333;0.0;3.5116666666666667;0.30166666666666675;2.7266666666666666;5.583333333333333;9.458333333333334
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1263;84;0.17555555555555555;1.9444444444444444;37.95777777777778;25.72222222222222;61.13333333333334;9.833333333333334;21.944444444444443;12.88888888888889;1.1644444444444444;0.0;2.8933333333333326;0.03777777777777778;2.2977777777777777;0.22444444444444445;2.0244444444444443;6.166666666666667;5.888888888888889
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;941;145;0.24727272727272728;1.4545454545454546;47.18545454545456;37.18181818181818;71.51818181818182;10.954545454545455;23.318181818181817;16.09090909090909;3.338181818181818;0.0;4.750909090909091;0.0;2.6218181818181816;0.4272727272727272;2.2254545454545447;6.090909090909091;10.136363636363637
