cycle;name;location.x;location.y;location.z;name;dataZone;nm_children;pop;over16;nm_hh;AB_car_prob;C1_car_prob;C2_car_prob;DE_car_prob;prob_social;simd;crimeRate;norm_crime;avg_dis_sh;neigh_play;daily_play_per_child;avg_FSA;avg_walk;daily_OD;zone_mvpa;mvpa_home;mvpa_sc;mvpa_road;mvpa_play_field;mvpa_home_garden;mvpa_park;mvpa_PG;mvpa_amenity;mvpa_shops;mvpa_F_home;mvpa_fsa;mvpa_OD
11286;zone0;8448.90275962388;2625.4515469546564;0.0;zone0;S01010195;19;531;390;212;[0.0,0.481481,0.518519];[0.261538,0.646154,0.092308];[0.12,0.59,0.29];[0.447368,0.368421,0.184211];[0.418918918919,0.283783783784,0.202702702703,0.0945945945946];1;0.0;-0.540229885057;1308;108;0.22105263157894736;1.5263157894736843;44.16421052631579;35.21052631578947;70.43578947368422;10.894736842105264;23.526315789473685;15.0;1.5389473684210526;0.0;5.6000000000000005;0.0;3.014736842105263;0.3621052631578947;2.528421052631579;6.157894736842105;9.68421052631579
11286;zone1;8656.736904000718;2165.9902346445633;0.0;zone1;S01010198;18;1027;748;394;[0.058824,0.529412,0.411765];[0.305785,0.561983,0.132231];[0.219858,0.496454,0.283688];[0.523179,0.331126,0.145695];[0.48623853211,0.229357798165,0.266055045872,0.0183486238532];1;1609.0;1.3102524676;1858;72;0.14888888888888888;1.1666666666666667;55.99777777777778;30.38888888888889;68.58;10.333333333333334;22.72222222222222;19.166666666666668;1.2222222222222223;0.0;2.677777777777778;0.06444444444444444;3.1466666666666665;0.34222222222222226;2.6755555555555555;4.611111111111111;6.5
11286;zone2;8537.588755655543;3024.028900129281;0.0;zone2;S01010201;22;643;453;253;[0.0,0.47619,0.52381];[0.270833,0.3125,0.416667];[0.088,0.48,0.432];[0.296552,0.434483,0.268966];[0.365853658537,0.292682926829,0.292682926829,0.0487804878049];2;219.0;-0.28762447053;1584;177;0.3054545454545455;1.5;41.696363636363635;41.72727272727273;70.57818181818182;10.590909090909092;23.181818181818183;14.090909090909092;2.5418181818181815;0.0;6.534545454545454;0.06181818181818182;2.9018181818181823;0.2890909090909091;2.123636363636363;6.363636363636363;11.545454545454545
11286;zone3;8059.42097232239;3767.666522351409;0.0;zone3;S01010203;30;671;504;260;[0.090909,0.363636,0.545455];[0.263804,0.460123,0.276074];[0.094828,0.422414,0.482759];[0.183824,0.375,0.441176];[0.272727272727,0.218181818182,0.363636363636,0.145454545455];3;215.0;-0.292668818285;1942;218;0.2826666666666667;2.1333333333333333;52.53999999999999;39.833333333333336;76.09466666666664;10.633333333333333;23.366666666666667;17.933333333333334;3.8159999999999994;0.0;4.229333333333334;0.0;3.1973333333333334;0.2866666666666667;1.7039999999999997;9.2;10.7
11286;zone4;8368.288440296214;3565.498290652094;0.0;zone4;S01010204;30;800;589;381;[0.272727,0.727273,0.0];[0.627451,0.27451,0.098039];[0.444444,0.533333,0.022222];[0.600619,0.321981,0.077399];[0.595041322314,0.157024793388,0.239669421488,0.00826446280992];1;497.0;0.0317745673598;1361;197;0.252;1.1;51.994666666666674;40.56666666666667;65.164;8.633333333333333;21.566666666666666;17.933333333333334;1.6893333333333336;0.0;3.7986666666666675;0.07733333333333334;3.389333333333333;0.31200000000000006;2.602666666666667;3.566666666666667;8.5
11286;zone5;8034.229745798958;3515.110462853287;0.0;zone5;S01010205;15;658;534;355;[0.411765,0.117647,0.470588];[0.465116,0.457364,0.077519];[0.317757,0.588785,0.093458];[0.593458,0.280374,0.126168];[0.466666666667,0.2,0.3,0.0333333333333];1;925.0;0.523434132086;1338;90;0.232;2.2666666666666666;45.25333333333333;31.933333333333334;67.24266666666668;9.8;22.066666666666666;15.533333333333333;2.2239999999999998;0.0;3.3573333333333326;0.02133333333333333;2.552;0.22133333333333335;1.912;8.0;7.6
11286;zone6;7457.064719570519;3739.055375726369;0.0;zone6;S01010208;18;903;745;565;[0.30137,0.589041,0.109589];[0.48062,0.457364,0.062016];[0.272727,0.613636,0.113636];[0.66055,0.270642,0.068807];[0.233333333333,0.133333333333,0.461111111111,0.172222222222];1;603.0;0.153385979085;1405;86;0.18666666666666668;1.9444444444444444;50.913333333333334;35.27777777777778;73.53333333333333;11.11111111111111;23.0;17.5;2.9;0.0;3.782222222222222;0.0;3.0088888888888885;0.288888888888889;1.7622222222222221;8.055555555555555;9.277777777777779
11286;zone7;7917.838214725937;1939.334458859395;0.0;zone7;S01010209;24;966;677;468;[0.172414,0.586207,0.241379];[0.333333,0.414966,0.251701];[0.381944,0.458333,0.159722];[0.545852,0.336245,0.117904];[0.337931034483,0.248275862069,0.303448275862,0.110344827586];1;2053.0;1.82052250092;1599;125;0.2;0.9583333333333334;55.135;36.625;70.56166666666668;10.333333333333334;23.375;18.875;1.2766666666666666;0.0;3.7233333333333327;0.0;4.075000000000001;0.2883333333333334;2.648333333333333;4.208333333333333;8.5
11286;zone8;7878.406567747077;2721.2634132011362;0.0;zone8;S01010210;18;885;641;416;[0.173913,0.456522,0.369565];[0.21519,0.5,0.28481];[0.189781,0.386861,0.423358];[0.422111,0.442211,0.135678];[0.394736842105,0.236842105263,0.254385964912,0.114035087719];1;344.0;-0.144253829852;1043;81;0.17333333333333334;1.0;46.69555555555556;34.0;69.52222222222223;11.333333333333334;23.38888888888889;15.833333333333334;1.6822222222222223;0.0;4.559999999999999;0.0;3.1755555555555555;0.3177777777777779;2.457777777777778;5.166666666666667;8.944444444444445
11286;zone9;7785.599648345685;3201.783800714137;0.0;zone9;S01010211;22;858;634;452;[0.147059,0.705882,0.147059];[0.384615,0.452991,0.162393];[0.469565,0.4,0.130435];[0.722656,0.226563,0.050781];[0.473214285714,0.169642857143,0.285714285714,0.0714285714286];1;430.0;-0.0456985893816;1097;94;0.16;1.2272727272727273;45.50909090909091;33.13636363636363;69.91818181818181;11.5;23.727272727272727;15.045454545454545;1.830909090909091;0.0;3.6345454545454543;0.0;3.2072727272727266;0.4436363636363636;2.438181818181818;6.590909090909091;8.227272727272727
